id,kind,vertical,challenge,hook,cta,production_note,safety_note
seed-001,PROOF,fitness,Run 1 Mile,Did the boring rep anyway.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-042,PR,sports,Make the Shot,New best. Receipt attached.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-043,PR,food,Cook Without Panicking,New best. Receipt attached.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-044,PR,build,Ship One Thing,New best. Receipt attached.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-045,PR,business,Talk to One Customer,New best. Receipt attached.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-046,PR,study,45 Minute Lock-In,New best. Receipt attached.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-047,PR,art,One Sketch,New best. Receipt attached.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-048,PR,outdoors,Touch Grass,New best. Receipt attached.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-049,PR,social,Reach Out 7,New best. Receipt attached.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-050,PR,funny,Draw It From Memory,New best. Receipt attached.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-051,CHAOS,fitness,Run 1 Mile,The plan survived approximately six minutes.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-052,CHAOS,sports,Make the Shot,The plan survived approximately six minutes.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-053,CHAOS,food,Cook Without Panicking,The plan survived approximately six minutes.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-054,CHAOS,build,Ship One Thing,The plan survived approximately six minutes.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-055,CHAOS,business,Talk to One Customer,The plan survived approximately six minutes.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-056,CHAOS,study,45 Minute Lock-In,The plan survived approximately six minutes.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-057,CHAOS,art,One Sketch,The plan survived approximately six minutes.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-058,CHAOS,outdoors,Touch Grass,The plan survived approximately six minutes.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-059,CHAOS,social,Reach Out 7,The plan survived approximately six minutes.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-060,CHAOS,funny,Draw It From Memory,The plan survived approximately six minutes.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-061,ALMOST,fitness,Run 1 Mile,Close enough to make tomorrow personal.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-062,ALMOST,sports,Make the Shot,Close enough to make tomorrow personal.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-063,ALMOST,food,Cook Without Panicking,Close enough to make tomorrow personal.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-064,ALMOST,build,Ship One Thing,Close enough to make tomorrow personal.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-065,ALMOST,business,Talk to One Customer,Close enough to make tomorrow personal.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-066,ALMOST,study,45 Minute Lock-In,Close enough to make tomorrow personal.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-067,ALMOST,art,One Sketch,Close enough to make tomorrow personal.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-068,ALMOST,outdoors,Touch Grass,Close enough to make tomorrow personal.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-069,ALMOST,social,Reach Out 7,Close enough to make tomorrow personal.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-070,ALMOST,funny,Draw It From Memory,Close enough to make tomorrow personal.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-071,RIVALRY,fitness,Run 1 Mile,I had first place for eleven minutes.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-072,RIVALRY,sports,Make the Shot,I had first place for eleven minutes.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-073,RIVALRY,food,Cook Without Panicking,I had first place for eleven minutes.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-074,RIVALRY,build,Ship One Thing,I had first place for eleven minutes.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-075,RIVALRY,business,Talk to One Customer,I had first place for eleven minutes.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-076,RIVALRY,study,45 Minute Lock-In,I had first place for eleven minutes.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-077,RIVALRY,art,One Sketch,I had first place for eleven minutes.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-078,RIVALRY,outdoors,Touch Grass,I had first place for eleven minutes.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-079,RIVALRY,social,Reach Out 7,I had first place for eleven minutes.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-080,RIVALRY,funny,Draw It From Memory,I had first place for eleven minutes.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-081,RESET,fitness,Run 1 Mile,Attempt number three. History stays.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-082,RESET,sports,Make the Shot,Attempt number three. History stays.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-083,RESET,food,Cook Without Panicking,Attempt number three. History stays.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-084,RESET,build,Ship One Thing,Attempt number three. History stays.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-085,RESET,business,Talk to One Customer,Attempt number three. History stays.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-086,RESET,study,45 Minute Lock-In,Attempt number three. History stays.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-087,RESET,art,One Sketch,Attempt number three. History stays.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-088,RESET,outdoors,Touch Grass,Attempt number three. History stays.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-089,RESET,social,Reach Out 7,Attempt number three. History stays.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-090,RESET,funny,Draw It From Memory,Attempt number three. History stays.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-091,CREW,fitness,Run 1 Mile,Our group chat has entered competitive mode.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-092,CREW,sports,Make the Shot,Our group chat has entered competitive mode.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-093,CREW,food,Cook Without Panicking,Our group chat has entered competitive mode.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-094,CREW,build,Ship One Thing,Our group chat has entered competitive mode.,BEAT ME,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-095,CREW,business,Talk to One Customer,Our group chat has entered competitive mode.,JOIN THE DROP,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-096,CREW,study,45 Minute Lock-In,Our group chat has entered competitive mode.,FOLLOW THE JOURNEY,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-097,CREW,art,One Sketch,Our group chat has entered competitive mode.,CHALLENGE A FRIEND,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-098,CREW,outdoors,Touch Grass,Our group chat has entered competitive mode.,KEEP THE CHAIN ALIVE,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-099,CREW,social,Reach Out 7,Our group chat has entered competitive mode.,TRY THIS,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
seed-100,CREW,funny,Draw It From Memory,Our group chat has entered competitive mode.,RUN IT BACK,Show the attempt clearly; keep the caption conversational; never fake verification.,No dangerous stunt escalation; hide private data and get consent for identifiable bystanders.
